Year,Units,Territorio,Value
2010,Porcentaje,ES,22.34
2011,Porcentaje,ES,22.56
2012,Porcentaje,ES,20.74
2013,Porcentaje,ES,10.39
2014,Porcentaje,ES,10.24
2015,Porcentaje,ES,13.89
2016,Porcentaje,ES,9.08
2017,Porcentaje,ES,14.02
2018,Porcentaje,ES,11.41
2019,Porcentaje,ES,4.24
2020,Porcentaje,ES,-10.11
2021,Porcentaje,ES,-3.74
2022,Porcentaje,ES,-2.61
2010,Porcentaje,ES70,91.54
2011,Porcentaje,ES70,76.47
2012,Porcentaje,ES70,78.36
2013,Porcentaje,ES70,65.34
2014,Porcentaje,ES70,61.28
2015,Porcentaje,ES70,58.43
2016,Porcentaje,ES70,63.81
2017,Porcentaje,ES70,67.61
2018,Porcentaje,ES70,64.74
2019,Porcentaje,ES70,63.25
2020,Porcentaje,ES70,37.32
2021,Porcentaje,ES70,49.12
