Year,Units,Territorio,Value
2010,Porcentaje,ES,-21.27
2011,Porcentaje,ES,-21.12
2012,Porcentaje,ES,-22.29
2013,Porcentaje,ES,-28.95
2014,Porcentaje,ES,-29.05
2015,Porcentaje,ES,-26.70
2016,Porcentaje,ES,-29.80
2017,Porcentaje,ES,-26.62
2018,Porcentaje,ES,-28.30
2019,Porcentaje,ES,-32.91
2020,Porcentaje,ES,-42.15
2021,Porcentaje,ES,-38.05
2022,Porcentaje,ES,-37.00
2010,Porcentaje,ES70,-18.51
2011,Porcentaje,ES70,-24.93
2012,Porcentaje,ES70,-24.12
2013,Porcentaje,ES70,-29.66
2014,Porcentaje,ES70,-31.39
2015,Porcentaje,ES70,-32.60
2016,Porcentaje,ES70,-30.31
2017,Porcentaje,ES70,-28.70
2018,Porcentaje,ES70,-29.92
2019,Porcentaje,ES70,-30.55
2020,Porcentaje,ES70,-41.58
2021,Porcentaje,ES70,-36.56
