Year,Units,Territorio,Value
2014,Hectáreas,ES,4400309.38
2015,Hectáreas,ES,4611684.49
2016,Hectáreas,ES,4804161.96
2017,Hectáreas,ES,5124970.35
2018,Hectáreas,ES,5167697.40
2019,Hectáreas,ES,5527015.72
2020,Hectáreas,ES,5713414.12
2021,Hectáreas,ES,6108383.93
2022,Hectáreas,ES,6701415.00
2023,Hectáreas,ES,6741600.00
2014,Hectáreas,ES70,0.00
2015,Hectáreas,ES70,0.00
2016,Hectáreas,ES70,0.00
2017,Hectáreas,ES70,0.00
2018,Hectáreas,ES70,0.00
2019,Hectáreas,ES70,0.00
2020,Hectáreas,ES70,4888.85
2021,Hectáreas,ES70,4888.85
2022,Hectáreas,ES70,8829
