Year,Units,Territorio,Value
2014,Porcentaje,ES,15.86
2015,Porcentaje,ES,16.58
2016,Porcentaje,ES,17.28
2017,Porcentaje,ES,18.33
2018,Porcentaje,ES,18.48
2019,Porcentaje,ES,19.76
2020,Porcentaje,ES,20.34
2021,Porcentaje,ES,22.20
2022,Porcentaje,ES,23.48
2023,Porcentaje,ES,23.62
2014,Porcentaje,ES70,0.00
2015,Porcentaje,ES70,0.00
2016,Porcentaje,ES70,0.00
2017,Porcentaje,ES70,0.00
2018,Porcentaje,ES70,0.00
2019,Porcentaje,ES70,0.00
2020,Porcentaje,ES70,0.85
2021,Porcentaje,ES70,0.85
2022,Porcentaje,ES70,1.53
2023,Porcentaje,ES70,1.53
