station_id,indsinop,station_name,province,altitude,lon,lat,island
C018J,,TÍAS,LAS PALMAS,376,-13.690277799999999,28.969722200000003,Lanzarote
C019V,,YAIZA PLAYA BLANCA,LAS PALMAS,6,-13.834999999999999,28.858888900000004,Lanzarote
C029O,60040,LANZAROTE AEROPUERTO,LAS PALMAS,14,-13.600277799999999,28.951944400000006,Lanzarote
C038N,,HARÍA,LAS PALMAS,277,-13.489166700000002,29.143611099999994,Lanzarote
C048W,,TINAJO,LAS PALMAS,275,-13.6808333,29.0425,Lanzarote
C101A,,ROQUE DE LOS MUCHACHOS,SANTA CRUZ DE TENERIFE,2223,-17.8952778,28.7558333,La Palma
C117A,,PUNTAGORDA,STA. CRUZ DE TENERIFE,684,-17.985555599999998,28.7605556,La Palma
C117Z,,TIJARAFE,STA. CRUZ DE TENERIFE,733,-17.9366667,28.6747222,La Palma
C126A,,EL PASO,STA. CRUZ DE TENERIFE,844,-17.853055599999998,28.6538889,La Palma
C129V,,FUENCALIENTE,STA. CRUZ DE TENERIFE,19,-17.8411111,28.454999999999995,La Palma
C129Z,60004,TAZACORTE,SANTA CRUZ DE TENERIFE,62,-17.915277800000002,28.595833300000002,La Palma
C139E,60005,LA PALMA AEROPUERTO,SANTA CRUZ DE TENERIFE,33,-17.754999999999995,28.6330556,La Palma
C148F,,SAN ANDRÉS Y SAUCES,STA. CRUZ DE TENERIFE,362,-17.7822222,28.8047222,La Palma
C229J,,PÁJARA,LAS PALMAS,15,-14.3580556,28.0491667,Fuerteventura
C239N,,"TUINEJE,PUERTO GRAN TARAJAL",LAS PALMAS,1,-14.0230556,28.2086111,Fuerteventura
C248E,,ANTIGUA,LAS PALMAS,252,-14.019166699999998,28.4169444,Fuerteventura
C249I,60035,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,-13.863055599999997,28.444722199999998,Fuerteventura
C258K,,LA OLIVA,LAS PALMAS,217,-13.9316667,28.612499999999997,Fuerteventura
C314Z,,"VALLEHERMOSO, ALTO IGUALERO",STA. CRUZ DE TENERIFE,1474,-17.249166699999996,28.1069444,La Gomera
C316I,,ARURE,STA. CRUZ DE TENERIFE,916,-17.314999999999998,28.1283333,La Gomera
C317B,,AGULO,STA. CRUZ DE TENERIFE,765,-17.213055600000004,28.178888900000004,La Gomera
C319W,,"VALLEHERMOSO, DAMA",STA. CRUZ DE TENERIFE,190,-17.3063889,28.0541667,La Gomera
C328W,,HERMIGUA,STA. CRUZ DE TENERIFE,252,-17.194166699999997,28.1636111,La Gomera
C329B,60007,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,-17.2108333,28.031666700000002,La Gomera
C329Z,60008,SAN SEBASTIÁN DE LA GOMERA,STA. CRUZ DE TENERIFE,15,-17.111388899999998,28.0897222,La Gomera
C406G,,"LA OROTAVA, CAÑADAS TEIDE",STA. CRUZ DE TENERIFE,2150,-16.626111099999996,28.224166699999998,Tenerife
C412N,,CITFAGRO_89_CHAVAO,STA. CRUZ DE TENERIFE,2071,-16.705277799999998,28.219722200000003,Tenerife
C415A,,CITFAGRO_64_HOYOS,STA. CRUZ DE TENERIFE,990,-16.805555599999998,28.3052778,Tenerife
C417J,,CITFAGRO_74_CHIO,STA. CRUZ DE TENERIFE,735,-16.7891667,28.233333299999998,Tenerife
C418I,,CITFAGRO_05_GUIAISO1,STA. CRUZ DE TENERIFE,476,-16.7897222,28.214444399999994,Tenerife
C418L,,CITFAGRO_76_POZO,STA. CRUZ DE TENERIFE,700,-16.763055599999998,28.2002778,Tenerife
C419L,60024,LOMO DEL BALO,SANTA CRUZ DE TENERIFE,403,-16.7919444,28.206944399999998,Tenerife
C419X,,ADEJE,STA. CRUZ DE TENERIFE,130,-16.710555599999996,28.081388899999997,Tenerife
C422A,,CITFAGRO_94_LOSTOPOS,STA. CRUZ DE TENERIFE,1833,-16.651388899999997,28.171944399999997,Tenerife
