island,year,n_stations,weight,tmed_annual,tmin_annual,tmax_annual,prec_annual,tropical_nights_annual,equatorial_nights_annual,torrid_nights_annual,warm_days_30,warm_days_35
El Hierro,2015,5,1805,18.40398891966759,14.998559556786704,21.81174515235457,245.41383508577755,74.1,3.6,0,20.6,1
El Hierro,2016,5,1792,18.311607142857145,14.857979910714286,21.76489955357143,282.05333333333334,65.9,3,0,20.6,3.8
El Hierro,2017,5,1746,18.86197021764032,15.374914089347078,22.351088201603666,204.59118683901292,82.3,4.1,0,28.7,4.7
El Hierro,2018,5,1825,17.622191780821918,14.30882191780822,20.935561643835616,320.39442896935935,49.6,1.2,0,10.2,0.6
El Hierro,2019,5,1717,18.32516016307513,14.85259172976121,21.800698893418755,170.7169844020797,64.6,1.9,0,13.5,2.4
El Hierro,2020,5,1428,19.68732492997199,16.345238095238095,23.032072829131653,248.6108680310515,92.8,5.4,0.4,25.7,5.2
El Hierro,2021,5,1807,18.306308799114554,14.91317100166021,21.69717764250138,227.4753045404208,68.3,3.4,0.4,23.1,5
El Hierro,2022,5,1814,18.55821389195149,15.190573318632856,21.92894156560088,487.46,75,4.6,0.2,18.6,3.6
El Hierro,2023,5,1734,19.55080738177624,16.03881533858215,23.065974625144175,250.85742857142858,101.4,8.5,1.2,32.7,8.8
El Hierro,2024,5,1656,18.77542270531401,15.331415155354927,22.219088437557325,146.79783577339273,63.4,1.3,0,19.8,1
El Hierro,2025,5,1805,18.205595567867036,14.96992479034645,21.468575114787686,351.34,74,3.4,0,21.2,3.4
Fuerteventura,2015,5,1643,20.762203286670726,17.286122945830797,24.24260499087036,52.29301470588235,83,2.5,0,24.8,3.9
Fuerteventura,2016,5,1806,20.70016611295681,17.187707641196013,24.213565891472868,106.68202866593165,75.9,0.6,0,23,2.2
Fuerteventura,2017,5,1714,21.56948658109685,17.92117852975496,25.218961493582267,59.81160092807424,109.2,4.4,0,40.9,5.4
Fuerteventura,2018,5,1765,20.273201133144475,16.816895937473024,23.72640226628895,95.35656851642129,68.5,0,0,15.5,0.4
Fuerteventura,2019,5,1792,20.693470982142856,17.123214285714287,24.265593946772924,48.8605540166205,76.2,1.2,0,19.1,1.2
Fuerteventura,2020,5,1810,21.263204419889504,17.710331491712704,24.81817679558011,36.18587196467991,100.7,3.6,0,30.4,3.2
Fuerteventura,2021,5,1793,20.702844394868933,17.254601226993866,24.1494701617401,19.473826615129763,77.9,2,0,19.4,3
Fuerteventura,2022,5,1810,21.302651933701657,17.793259668508288,24.809060773480663,117.5273178807947,102.6,1.8,0,22.1,4.2
Fuerteventura,2023,5,1783,21.946102075154236,18.31822770611329,25.574817722938867,62.91546107123136,118.6,6.9,0.2,43.8,7.5
Fuerteventura,2024,5,1815,21.55581267217631,18.08451790633609,25.02473829201102,38.68526027397261,96.4,0.8,0,18.8,1.4
Fuerteventura,2025,5,1803,21.044093178036604,17.61192457016084,24.476927343316696,100.81741541874652,96.9,3.4,0,23,5.2
Gran Canaria,2015,5,1662,19.65938628158845,16.296028880866427,23.021660649819495,188.0468263473054,88.7,1.2,0,12.4,0.6
Gran Canaria,2016,5,1738,19.659666283084004,16.227905638665135,23.088032220943614,161.50849598163035,89.9,0.8,0,12.4,1
Gran Canaria,2017,5,1754,20.14190421892816,16.666020524515393,23.618643101482327,131.92391799544419,112.5,0.2,0,19.2,1.4
Gran Canaria,2018,5,1801,19.177345918933927,15.85752359800111,22.495780122154354,298.30193905817174,78,0,0,5.6,0
Gran Canaria,2019,5,1680,19.67886904761905,16.18517857142857,23.174107142857142,127.52462995855537,85.8,0,0,6.5,0
Gran Canaria,2020,4,1396,19.86310888252149,16.307664756446993,23.416547277936964,163.49881201956674,102.2,1,0,20.1,1.6
Gran Canaria,2021,4,1418,19.42447108603667,15.909379407616361,22.93730606488011,168.85910676901602,90.5,1,0,14.6,1.5
Gran Canaria,2022,4,1452,19.838705234159782,16.33154269972452,23.347933884297518,337.3419198895028,113.8,0.2,0,17,1
Gran Canaria,2023,4,1408,20.32450284090909,16.539701704545454,24.112571022727273,176.4713581984518,113.3,6.4,0,35.1,2.8
Gran Canaria,2024,4,1448,20.46132596685083,16.780455801104974,24.142127071823207,116.660400829302,115.5,0,0,18.1,1
Gran Canaria,2025,4,1363,19.81283932501834,16.249816581071165,23.379970652971387,310.6173184357542,105.4,2.3,0,17.3,2
La Gomera,2015,5,1730,18.834161849710984,15.485606936416184,22.180751445086706,232.77122260668972,63.5,1.9,0,18,2.1
La Gomera,2016,5,1823,18.558804168952275,15.157871640153592,21.960175534832693,230.92167515563102,55.5,0.4,0,16.6,3.4
La Gomera,2017,5,1804,19.38159645232816,15.901552106430156,22.85973149469975,129.72208724461623,79.8,3,0,27.2,2.8
La Gomera,2018,5,1803,18.06389351081531,14.775374376039933,21.35146977260122,254.83316180674672,43.7,0,0,8,0
La Gomera,2019,5,1822,18.55675082327113,15.092919868276619,22.020362239297473,206.4146005509642,49.9,0.4,0,9.8,1.2
La Gomera,2020,5,1690,19.668579881656804,15.976390532544379,23.361775147928995,219.379061784897,74.7,2.6,0,27.8,4.5
La Gomera,2021,5,1823,19.013219967087217,15.348765770707624,22.678771256171146,191.9976308539945,64.1,2,0,23.4,4.4
La Gomera,2022,5,1820,19.310824175824173,15.711978021978021,22.907967032967033,355.80164835164834,70,0.2,0,19.8,3.6
La Gomera,2023,5,1784,20.385650224215247,16.504857323691404,24.280540573745313,184.1924874791319,98.4,9.7,0,47.5,9.9
La Gomera,2024,4,1439,19.245795691452397,15.29874913134121,23.19374565670605,171.29603340292275,39,0.9,0,20.1,2.7
La Gomera,2025,5,1819,19.14689389774601,15.574931280923584,22.719186366135236,288.9511269928532,73.1,3,0,24.4,4.6
La Graciosa,2015,1,303,20.914851485148514,17.706930693069307,24.12013201320132,83.8,85,0,0,9,0
La Graciosa,2016,1,366,20.850273224043715,17.78087431693989,23.9172131147541,115.2,93,0,0,3,0
La Graciosa,2017,1,347,21.41757925072046,18.18904899135447,24.649279538904896,50.8,118,1,0,13,2
La Graciosa,2018,1,351,20.485470085470087,17.543589743589745,23.42222222222222,135.2,91,0,0,1,0
La Graciosa,2019,1,365,20.845479452054793,17.745479452054795,23.944657534246577,43.6,95,0,0,2,0
La Graciosa,2020,1,366,21.324043715846994,18.127322404371586,24.51584699453552,67.4,119,0,0,6,0
