island,year,n_stations,tmed_annual,tmin_annual,tmax_annual,anom_tmed,anom_tmin,anom_tmax,prec_annual,hr_media_annual,hr_min_annual,hr_max_annual,velmedia_annual,racha_mean_annual,sol_annual,pres_min_annual,pres_max_annual,tropical_nights_annual,equatorial_nights_annual,torrid_nights_annual,warm_days_30,warm_days_35
El Hierro,2015,5,18.40398891966759,14.998559556786704,21.81174515235457,-0.201328161106602,-0.20295554701892016,-0.20085885405458725,245.41383508577755,67.75522552255225,51.25634681087205,83.79841171088314,4.250752178169591,11.667920232833767,2688.6,1015.2482093663912,1018.4030303030303,74.1,3.6,0,20.6,1
El Hierro,2016,5,18.311607142857145,14.857979910714286,21.76489955357143,-0.2937099379170469,-0.34353519309133773,-0.24770445283772702,282.05333333333334,68.70249307479224,52.31823763550987,84.93592504976357,4.267359360179429,11.72099720181099,2709.9,1014.6139344262295,1017.7879781420766,65.9,3,0,20.6,3.8
El Hierro,2017,4,18.065682910089226,14.575566231983526,21.556417295813315,-0.5396341706849661,-0.6259488718220982,-0.4561867105958406,233.00302593659944,68.21586847748392,50.47284046703449,83.43812667547752,4.32326904815458,11.715119944429537,2673,1013.745,1016.9686111111112,73.1,4.5,0,31,5.5
El Hierro,2018,5,17.622191780821918,14.30882191780822,20.935561643835616,-0.9831252999522739,-0.8926931859974037,-1.0770423625735397,320.39442896935935,71.05054945054945,54.30985389919853,85.96444690707044,4.419840114757511,12.149656663757334,2729.4,1014.3782967032965,1017.5629120879122,49.6,1.2,0,10.2,0.6
El Hierro,2019,4,19.139653979238755,15.787266435986158,22.494532871972318,0.5343368984645629,0.5857513321805339,0.4819288655631624,156.075,64.55671537926236,48.948092462492895,80.61039861818972,4.2469479767601674,11.721437855830745,2783.3,1014.4602240896359,1017.5182072829132,75.3,2.3,0,13,2.3
El Hierro,2020,4,19.95544267053701,16.58642960812772,23.326850507982584,1.3501255897628184,1.3849145043220954,1.3142465015734288,244.45618141916603,62.45839416058394,46.880253367847594,78.68961573216117,4.182370189205429,11.68177885925314,2747.3,1014.0988980716254,1017.4239669421488,96.2,5.5,0.5,26.6,5.4
El Hierro,2021,5,18.306308799114554,14.91317100166021,21.69717764250138,-0.29900828165963844,-0.2883441021454143,-0.31542636390777545,227.4753045404208,67.64075513603554,51.770155505547145,82.99347101825677,4.130834149248648,11.456154876055894,2730.6,1013.8867403314918,1017.0817679558011,68.3,3.4,0.4,23.1,5
El Hierro,2022,5,18.55821389195149,15.190573318632856,21.92894156560088,-0.047103188822703146,-0.010941785172768448,-0.08366244080827556,487.46,67.29916897506925,50.428644391017706,83.07745604288371,4.203782699444781,11.550387611755651,2674.4,1013.3151933701657,1016.5925414364641,75,4.6,0.2,18.6,3.6
El Hierro,2023,4,19.742974640164498,16.198012337217275,23.291226867717615,1.1376575593903056,0.9964972334116506,1.2786228613084596,239.825,64.13545266067726,48.83441543626585,79.55379983400165,3.8313188804491722,10.421212309898488,2876.6,1013.5546218487395,1016.7056022408964,112.8,7.3,1,32.5,9.8
El Hierro,2024,4,18.3468275862069,14.830361032598454,21.862715854363323,-0.25848949456729287,-0.3711540712071706,-0.1498881520458326,163.58211143695016,65.4575799721836,47.752683130112096,82.53376749943884,4.546126836184142,12.064235181428042,2756.3,1013.4002732240438,1016.6412568306009,65.1,1.5,0,21.9,1
El Hierro,2025,5,18.205595567867036,14.96992479034645,21.468575114787686,-0.3997215129071563,-0.2315903134591739,-0.5440288916214691,351.34,71.01340033500837,55.16421301961429,85.31578045739504,4.215301002676221,11.524779065296553,2785.3,1013.9238356164384,1017.1301369863014,74,3.4,0,21.2,3.4
Fuerteventura,2015,5,20.762203286670726,17.286122945830797,24.24260499087036,-0.3117273287691802,-0.26914813687776373,-0.35015134349826127,52.29301470588235,68.09893992932862,53.479158711392664,84.26162583348848,4.644419355854071,11.694817239703713,2783.7,1013.0157076205287,1018.2841368584758,83,2.5,0,24.8,3.9
Fuerteventura,2016,5,20.70016611295681,17.187707641196013,24.213565891472868,-0.3737645024830947,-0.36756344151254794,-0.37919044289575154,106.68202866593165,68.24008810572687,53.73420561237615,83.80362638837397,4.617868622534886,11.710899335760724,2757.4,1014.8922865013775,1018.2936639118457,75.9,0.6,0,23,2.2
Fuerteventura,2017,5,21.56948658109685,17.92117852975496,25.218961493582267,0.49555596565694415,0.3659074470463999,0.6262051592136473,59.81160092807424,65.04890387858347,49.73308038241122,82.02183660435568,4.520859616981928,11.618141488305621,2870.8,1014.0038571428571,1017.5061428571429,109.2,4.4,0,40.9,5.4
Fuerteventura,2018,5,20.273201133144475,16.816895937473024,23.72640226628895,-0.8007294822954307,-0.7383751452355369,-0.8663540680796693,95.35656851642129,67.33614864864865,53.15414346448213,82.98336865724484,4.756316528218206,11.967217820459181,2666.4,1014.9027338129497,1018.2670503597124,68.5,0,0,15.5,0.4
Fuerteventura,2019,5,20.693470982142856,17.123214285714287,24.265593946772924,-0.38045963329705046,-0.43205679699427435,-0.3271623875956955,48.8605540166205,65.33611574846967,50.43332813085869,81.55933336650946,4.600888710293134,11.77447295265691,2807.6,1014.8872044506261,1018.2012517385257,76.2,1.2,0,19.1,1.2
Fuerteventura,2020,5,21.263204419889504,17.710331491712704,24.81817679558011,0.18927380444959852,0.1550604090041432,0.22542046121149184,36.18587196467991,65.41221794166208,49.871206090306046,82.14627459491649,4.400975726870933,11.358894115541643,2785,1014.7385772913817,1018.2775649794801,100.7,3.6,0,30.4,3.2
Fuerteventura,2021,5,20.702844394868933,17.254601226993866,24.1494701617401,-0.37108622057097307,-0.30066985571469473,-0.4432861726285182,19.473826615129763,66.79711751662971,52.72429344646613,81.8508080563284,4.545162564708893,11.403571072392575,2802.7,1014.3489481065918,1017.7551192145864,77.9,2,0,19.4,3
Fuerteventura,2022,5,21.302651933701657,17.793259668508288,24.809060773480663,0.22872131826175135,0.2379885857997266,0.21630443911204367,117.5273178807947,65.95769230769231,50.722850096659975,81.57101858594793,4.602907188256628,11.559674303727888,2737.8,1013.8653685674548,1017.3461752433934,102.6,1.8,0,22.1,4.2
Fuerteventura,2023,5,21.946102075154236,18.31822770611329,25.574817722938867,0.8721714597143304,0.7629566234047296,0.9820613885702478,62.91546107123136,64.7729549248748,48.8518858784898,81.34523158677591,4.341256887094309,11.084950626852907,2948.5,1014.3413744740533,1017.7120617110799,118.6,6.9,0.2,43.8,7.5
Fuerteventura,2024,5,21.55581267217631,18.08451790633609,25.02473829201102,0.48188205673640283,0.5292468236275276,0.43198195764239955,38.68526027397261,65.02471169686986,49.27936571004603,81.66285401599595,4.6237156964578725,11.500710947504711,2773.6,1014.2757575757576,1017.678650137741,96.4,0.8,0,18.8,1.4
Fuerteventura,2025,5,21.044093178036604,17.61192457016084,24.476927343316696,-0.029837437403301692,0.05665348745228016,-0.11582899105192368,100.81741541874652,67.64491150442478,52.80123950222345,83.04825857303129,4.681888164397687,11.489912666673561,2636.5,1013.9309954751131,1017.4056561085972,96.9,3.4,0,23,5.2
Gran Canaria,2015,5,19.65938628158845,16.296028880866427,23.021660649819495,-0.13650985127684834,0.01894148988982991,-0.29311151174607986,188.0468263473054,65.82428309945088,51.521709412602966,79.73819188664953,4.337002325137568,11.03161935156138,2836.4926829268297,1013.1288152610442,1016.3559236947791,88.7,1.2,0,12.4,0.6
Gran Canaria,2016,5,19.659666283084004,16.227905638665135,23.088032220943614,-0.13622984978129438,-0.049181752311461935,-0.226739940621961,161.50849598163035,64.52428320655353,49.79966916630415,78.65668661391466,4.420849781615158,11.563443292449964,2819.32479338843,1012.7406015037594,1016.0343045112782,89.9,0.8,0,12.4,1
Gran Canaria,2017,5,20.14190421892816,16.666020524515393,23.618643101482327,0.34600808606286293,0.38893313353879577,0.3038709399167523,131.92391799544419,62.43815635939323,47.61066191374572,77.55372246780816,4.004984762730342,11.039146727089497,2964.9452261306537,1011.7321462043111,1015.0542642924086,112.5,0.2,0,19.2,1.4
