year,n_islands,tmed_mean,tmin_mean,tmax_mean,prec_mean,hrmin_mean,hrmed_mean,hrmax_mean,velmed_mean,presmin_mean,presmax_mean,tropical_nights_mean,warm_days_30_mean,anom_tmed_mean,ods_7_2_1,ods_7_3_1,ods_13_1_1,ods_13_2_2_A,ods_13_2_2_B,ods_13_2_2_C,ods_13_2_2_D,ods_14_3_1,ods_15_1_1,ods_15_1_2_A,ods_15_1_2_B,ods_15_1_2_C,ods_15_1_2_D,ods_15_1_2_E,ods_15_1_2_F,ods_15_1_2_G,ods_15_2_1_A,ods_15_2_1_B,ods_15_4_1_A,ods_15_4_1_B,ods_15_4_1_C,ods_15_4_1_D,ods_15_4_1_E,ods_15_4_1_F,ods_15_4_1_G,ods_15_4_2,ods_15_8_1
2015,8,19.427434045028967,16.122380314888833,22.732303416239187,212.92992001901155,52.068564038519526,67.4603304857884,83.61509366557335,5.161976464681347,982.6425336154127,986.0490698143656,70.6125,15.225,-0.1645179672218151,7.96,18.29,0.05,0.32,6.23,58.43,-32.6,8.069,17.75,49.35,14.57,82.29,49.78,63.79,4.51,45.18,0,0,61.01,17.83,82.51,59.08,77.07,7.44,63.13,88.73,1
2016,8,19.235534622828386,15.904430906176785,22.566585245990307,212.61209909235268,53.4200629564174,68.51124759144605,84.1022928020216,4.514666764740441,982.3583907063112,985.5820635546906,63.4125,13.825000000000001,-0.3564173894223952,7.92,18.03,0.05,0.32,6.42,63.81,-30.31,8.068,17.75,,,,,,,,0,0,,,,,,,,,1
2017,8,19.754342161887063,16.33532429197691,23.17319117145104,139.27335977387733,50.78470176280956,66.50779706288199,82.62670443605475,4.428680523830586,981.6678452194676,984.9203449240376,81.8625,23.1,0.1623901496362823,7.83,17.74,0.05,0.32,6.53,67.61,-28.7,8.063,17.75,,,,,,,,0,0,,,,,,,,,1
2018,8,18.71530028721443,15.49392703420323,21.934707382576736,256.51535132254696,54.60387669537887,69.59554362453133,84.94533424061103,4.606318737467902,982.1846623648175,985.4233048207792,54.375,7.0625,-0.8766517250363504,10.51,17.19,0,0.31,6.36,64.74,-29.92,8.065,18.39,49.31,14.52,82.26,49.97,63.57,4.49,45.59,0,0,61.01,17.85,82.48,59.17,77.06,7.49,63.93,88.74,1
2019,8,19.31430519413593,15.941939710910775,22.687114360800656,142.77681560731958,50.499252390721104,65.6846227821204,81.87009632490381,4.595316961105621,982.4666946392376,985.5826811755854,63.1625,9.275,-0.27764681811485215,16.37,16.96,0.09,0.3,6.23,63.25,-30.55,8.062,18.39,,,,,,,,0,0,,,,,,,,,1
2020,8,19.93554577757528,16.4690444302737,23.402037915056876,174.78067377438353,49.16244073516074,65.1717595931331,82.39570332425579,4.498444665356093,983.7088598083226,987.0813489647035,81.5625,20.1625,0.34359376532449826,17.52,18.75,0.09,0.31,5.2,37.32,-41.58,8.057,18.39,,,,,,,,4888.85,0.85,,,,,,,,,1
2021,8,19.297360829988225,15.924058326604502,22.669955725631052,170.4440268481352,51.71008680622137,66.99374327828437,82.75829747071447,4.676664649711848,981.9211725400311,985.1623438127764,64.325,14.95,-0.2945911822625571,20,17.55,0.22,0.31,5.66,49.12,-36.56,8.057,18.46,49.31,14.52,82.26,49.97,63.57,4.49,45.59,4888.85,0.85,61.01,17.85,82.48,59.17,77.06,7.49,63.93,88.55,1
2022,8,19.704717969553716,16.31797102484185,23.0911844641025,313.15589793110047,50.286236470645356,66.20557318558326,82.4841731950074,4.740349942605993,981.5013060809424,984.8130004326324,76.1875,15.8125,0.1127659573029356,20.13,16.92,0.18,,,,,8.055,,,,,,,,,8829,1.53,,,,,,,,,1
2023,8,20.55961251447982,16.973127532389018,24.148682012737712,178.1585638104983,48.5079051838717,64.28180530938371,81.23055618247245,4.4413790403373925,981.8993869169092,985.0608070073475,102.7625,33.5125,0.9676605022290405,19.5,,0.36,,,,,8.048,,,,,,,,,,1.53,,,,,,,,,1
2024,8,20.028377184673168,16.53818788907834,23.517696380866393,132.5208880098559,48.370427963770695,64.69450891886201,81.83721659958994,4.797665610450903,980.3362893436076,983.5552837550242,72.4625,15.6875,0.4364251724223882,,,,,,,,8.051,,,,,,,,,,,,,,,,,,,1
2025,8,19.53894154739361,16.21743673337476,22.864335667409396,266.31251368031155,52.46592169189059,67.7336638247533,83.33528516760497,4.6609340312757706,981.9385592469229,985.1940330455739,78.8,16.825,-0.053010464857171424,,,,,,,,,,,,,,,,,,,,,,,,,,,
