year,territory_code,units,value,indicator_id,territory_name,level
2011,ES,Porcentaje,31.02,ods_7_2_1,España,pais
2012,ES,Porcentaje,30.14,ods_7_2_1,España,pais
2013,ES,Porcentaje,40.16,ods_7_2_1,España,pais
2014,ES,Porcentaje,40.48,ods_7_2_1,España,pais
2015,ES,Porcentaje,35.18,ods_7_2_1,España,pais
2016,ES,Porcentaje,38.61,ods_7_2_1,España,pais
2017,ES,Porcentaje,32.26,ods_7_2_1,España,pais
2018,ES,Porcentaje,38.45,ods_7_2_1,España,pais
2019,ES,Porcentaje,37.54,ods_7_2_1,España,pais
2020,ES,Porcentaje,44,ods_7_2_1,España,pais
2021,ES,Porcentaje,46.71,ods_7_2_1,España,pais
2022,ES,Porcentaje,42.22,ods_7_2_1,España,pais
2023,ES,Porcentaje,50.34,ods_7_2_1,España,pais
2024,ES,Porcentaje,56.82,ods_7_2_1,España,pais
2010,ES70,Porcentaje,6.01,ods_7_2_1,Canarias,canarias
2011,ES70,Porcentaje,6.73,ods_7_2_1,Canarias,canarias
2012,ES70,Porcentaje,7.05,ods_7_2_1,Canarias,canarias
2013,ES70,Porcentaje,7.65,ods_7_2_1,Canarias,canarias
2014,ES70,Porcentaje,7.96,ods_7_2_1,Canarias,canarias
2015,ES70,Porcentaje,7.96,ods_7_2_1,Canarias,canarias
2016,ES70,Porcentaje,7.92,ods_7_2_1,Canarias,canarias
2017,ES70,Porcentaje,7.83,ods_7_2_1,Canarias,canarias
2018,ES70,Porcentaje,10.51,ods_7_2_1,Canarias,canarias
2019,ES70,Porcentaje,16.37,ods_7_2_1,Canarias,canarias
2020,ES70,Porcentaje,17.52,ods_7_2_1,Canarias,canarias
2021,ES70,Porcentaje,20,ods_7_2_1,Canarias,canarias
2022,ES70,Porcentaje,20.13,ods_7_2_1,Canarias,canarias
2023,ES70,Porcentaje,19.5,ods_7_2_1,Canarias,canarias
2010,ES703,Porcentaje,0.73,ods_7_2_1,El Hierro,isla
2011,ES703,Porcentaje,0.8,ods_7_2_1,El Hierro,isla
2012,ES703,Porcentaje,0.56,ods_7_2_1,El Hierro,isla
2013,ES703,Porcentaje,0.58,ods_7_2_1,El Hierro,isla
2014,ES703,Porcentaje,2.64,ods_7_2_1,El Hierro,isla
2015,ES703,Porcentaje,20.11,ods_7_2_1,El Hierro,isla
2016,ES703,Porcentaje,40.75,ods_7_2_1,El Hierro,isla
2017,ES703,Porcentaje,46.65,ods_7_2_1,El Hierro,isla
2018,ES703,Porcentaje,56.54,ods_7_2_1,El Hierro,isla
2019,ES703,Porcentaje,54.37,ods_7_2_1,El Hierro,isla
2020,ES703,Porcentaje,41.84,ods_7_2_1,El Hierro,isla
2021,ES703,Porcentaje,48.28,ods_7_2_1,El Hierro,isla
2022,ES703,Porcentaje,48.46,ods_7_2_1,El Hierro,isla
2023,ES703,Porcentaje,34.89,ods_7_2_1,El Hierro,isla
2010,ES704,Porcentaje,5.48,ods_7_2_1,Fuerteventura,isla
2011,ES704,Porcentaje,5.86,ods_7_2_1,Fuerteventura,isla
2012,ES704,Porcentaje,6.3,ods_7_2_1,Fuerteventura,isla
