fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,tmax,dir,velmedia,racha,hr_media,hr_max,hr_min,station_id,year_req,sol,pres_max,hora_pres_max,pres_min,hora_pres_min
2015-01-01,C925F,"SAN ANDRÉS, VALVERDE",STA. CRUZ DE TENERIFE,1070,10.2,0,8.3,12.1,11,9.4,17.5,84,99,63,C925F,2015,,,,,
2015-01-02,C925F,"SAN ANDRÉS, VALVERDE",STA. CRUZ DE TENERIFE,1070,8.5,0,7.4,9.6,10,9.7,17.5,84,100,61,C925F,2015,,,,,
2015-01-03,C925F,"SAN ANDRÉS, VALVERDE",STA. CRUZ DE TENERIFE,1070,,0,,,,11.7,,71,,,C925F,2015,,,,,
2015-01-04,C925F,"SAN ANDRÉS, VALVERDE",STA. CRUZ DE TENERIFE,1070,7.6,0,5.9,9.3,10,9.7,20,75,92,61,C925F,2015,,,,,
2015-01-05,C925F,"SAN ANDRÉS, VALVERDE",STA. CRUZ DE TENERIFE,1070,8.7,0,5.7,11.7,12,3.9,9.4,73,93,59,C925F,2015,,,,,
2015-01-06,C925F,"SAN ANDRÉS, VALVERDE",STA. CRUZ DE TENERIFE,1070,7.6,0,5,10.2,5,3.9,9.2,92,97,78,C925F,2015,,,,,
2015-01-07,C925F,"SAN ANDRÉS, VALVERDE",STA. CRUZ DE TENERIFE,1070,8.6,8.2,7.1,10.2,6,3.9,12.2,96,100,87,C925F,2015,,,,,
2015-01-08,C925F,"SAN ANDRÉS, VALVERDE",STA. CRUZ DE TENERIFE,1070,,0,,,,6.9,,96,,,C925F,2015,,,,,
2015-01-09,C925F,"SAN ANDRÉS, VALVERDE",STA. CRUZ DE TENERIFE,1070,9,4.6,7.7,10.4,7,6.7,15.3,95,100,81,C925F,2015,,,,,
2015-01-10,C925F,"SAN ANDRÉS, VALVERDE",STA. CRUZ DE TENERIFE,1070,10.2,0,7.2,13.3,10,3.3,8.3,79,100,53,C925F,2015,,,,,
2015-01-11,C925F,"SAN ANDRÉS, VALVERDE",STA. CRUZ DE TENERIFE,1070,9.4,0,5.7,13,99,5,11.1,80,97,54,C925F,2015,,,,,
2015-01-12,C925F,"SAN ANDRÉS, VALVERDE",STA. CRUZ DE TENERIFE,1070,10.5,0,8.6,12.4,10,3.9,12.5,82,98,63,C925F,2015,,,,,
2015-01-13,C925F,"SAN ANDRÉS, VALVERDE",STA. CRUZ DE TENERIFE,1070,10.4,0,8.6,12.1,5,3.9,10.8,91,99,76,C925F,2015,,,,,
2015-01-14,C925F,"SAN ANDRÉS, VALVERDE",STA. CRUZ DE TENERIFE,1070,9.1,0,7.9,10.3,5,4.7,13.6,94,100,84,C925F,2015,,,,,
2015-01-15,C925F,"SAN ANDRÉS, VALVERDE",STA. CRUZ DE TENERIFE,1070,10.6,0,7.9,13.4,32,4.7,10.8,94,100,75,C925F,2015,,,,,
