indicator_id,level,min_year,max_year,n_years,n_territories,coverage_class
ods_14_3_1,canarias,2010,2024,15,1,core
ods_13_1_1,canarias,2010,2023,14,1,core
ods_7_2_1,canarias,2010,2023,14,1,core
ods_13_2_2_A,canarias,2010,2021,12,1,core
ods_13_2_2_B,canarias,2010,2021,12,1,core
ods_13_2_2_C,canarias,2010,2021,12,1,core
ods_13_2_2_D,canarias,2010,2021,12,1,core
ods_15_1_1,canarias,2010,2021,12,1,core
ods_15_8_1,canarias,2013,2024,12,1,core
ods_7_3_1,canarias,2011,2022,12,1,core
ods_15_2_1_B,canarias,2014,2023,10,1,core
ods_15_2_1_A,canarias,2014,2022,9,1,core
ods_15_1_2_A,canarias,2015,2021,3,1,sparse
ods_15_1_2_B,canarias,2015,2021,3,1,sparse
ods_15_1_2_C,canarias,2015,2021,3,1,sparse
ods_15_1_2_D,canarias,2015,2021,3,1,sparse
ods_15_1_2_E,canarias,2015,2021,3,1,sparse
ods_15_1_2_F,canarias,2015,2021,3,1,sparse
ods_15_1_2_G,canarias,2015,2021,3,1,sparse
ods_15_4_1_A,canarias,2015,2021,3,1,sparse
ods_15_4_1_B,canarias,2015,2021,3,1,sparse
ods_15_4_1_C,canarias,2015,2021,3,1,sparse
ods_15_4_1_D,canarias,2015,2021,3,1,sparse
ods_15_4_1_E,canarias,2015,2021,3,1,sparse
ods_15_4_1_F,canarias,2015,2021,3,1,sparse
ods_15_4_1_G,canarias,2015,2021,3,1,sparse
ods_15_4_2,canarias,2015,2021,3,1,sparse
ods_7_2_1,isla,2010,2023,14,7,core
ods_13_1_1,pais,2010,2024,15,1,core
ods_14_3_1,pais,2010,2024,15,1,core
ods_7_2_1,pais,2011,2024,14,1,core
ods_13_2_2_A,pais,2010,2022,13,1,core
ods_13_2_2_B,pais,2010,2022,13,1,core
ods_13_2_2_C,pais,2010,2022,13,1,core
ods_13_2_2_D,pais,2010,2022,13,1,core
ods_15_1_1,pais,2010,2022,13,1,core
ods_7_3_1,pais,2011,2023,13,1,core
ods_15_8_1,pais,2013,2024,12,1,core
ods_15_2_1_A,pais,2014,2023,10,1,core
ods_15_2_1_B,pais,2014,2023,10,1,core
ods_15_1_2_A,pais,2015,2021,3,1,sparse
ods_15_1_2_B,pais,2015,2021,3,1,sparse
ods_15_1_2_C,pais,2015,2021,3,1,sparse
ods_15_1_2_D,pais,2015,2021,3,1,sparse
ods_15_1_2_E,pais,2015,2021,3,1,sparse
ods_15_1_2_F,pais,2015,2021,3,1,sparse
ods_15_1_2_G,pais,2015,2021,3,1,sparse
ods_15_4_1_A,pais,2015,2021,3,1,sparse
ods_15_4_1_B,pais,2015,2021,3,1,sparse
ods_15_4_1_C,pais,2015,2021,3,1,sparse
ods_15_4_1_D,pais,2015,2021,3,1,sparse
ods_15_4_1_E,pais,2015,2021,3,1,sparse
ods_15_4_1_F,pais,2015,2021,3,1,sparse
ods_15_4_1_G,pais,2015,2021,3,1,sparse
ods_15_4_2,pais,2015,2021,3,1,sparse
