.model,island,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
arima,La Gomera,Test,0.15804616692444107,0.16560187824748065,0.15804616692444107,0.8226557097476601,0.8226557097476601,,,-0.5
tslm,La Graciosa,Test,-0.17984309088079087,0.3600190748599177,0.3118817034156294,-0.8546376758368208,1.4616233446244504,,,-0.5
naive,Gran Canaria,Test,-0.18742019497450535,0.3745130980928116,0.32424332091624386,-0.9568965812957788,1.6255879757997527,,,-0.5
arima,Fuerteventura,Test,0.27624948959137186,0.3765341826051683,0.27624948959137186,1.2827045668474992,1.2827045668474992,,,-0.5
ets,Fuerteventura,Test,0.2762863851782491,0.37656125239529437,0.2762863851782491,1.2828778109460526,1.2828778109460526,,,-0.5
tslm,Lanzarote,Test,-0.21952440276923468,0.37676608536770756,0.30620535539424765,-1.0958595244831584,1.5160700468256014,,,-0.5
tslm,Gran Canaria,Test,0.19256175760030203,0.3947933701177296,0.34464731915219815,0.9289370105358167,1.6965481492374392,,,-0.5
tslm,Fuerteventura,Test,-0.25539623403284395,0.3971895117103838,0.30419117649033467,-1.2163765399267128,1.4427421295686844,,,-0.5
arima,La Palma,Test,0.18029583228179824,0.40315433169032694,0.36059232940051267,0.89419023504052,1.8401126289800067,,,-0.5
ets,La Palma,Test,0.18032493669365302,0.40316734840021184,0.36059232940051267,0.8943401473791055,1.8401098455348373,,,-0.5
arima,El Hierro,Test,-0.4022400601232725,0.40839158502479184,0.4022400601232725,-2.2024198794828287,2.2024198794828287,,,-0.5
ets,El Hierro,Test,-0.4027507838336497,0.4088946253372709,0.4027507838336497,-2.2052143937233204,2.2052143937233204,,,-0.5
tslm,La Palma,Test,-0.20746978793673598,0.446918322360703,0.39584374942038814,-1.106502018608111,2.0587718201686194,,,-0.5
arima,La Graciosa,Test,0.36929491401620673,0.45277125572951654,0.36929491401620673,1.7037489919792752,1.7037489919792752,,,-0.5
ets,La Graciosa,Test,0.3693235857666455,0.4527946416425204,0.3693235857666455,1.7038824233389018,1.7038824233389018,,,-0.5
tslm,Tenerife,Test,-0.1568166209305648,0.4696044879613585,0.4426476279314837,-0.9204711815938048,2.469310407524743,,,-0.5
ets,Lanzarote,Test,0.3989442857635712,0.47079363951573255,0.3989442857635712,1.9429643623692456,1.9429643623692456,,,-0.5
arima,Lanzarote,Test,0.39895214214796404,0.4708002969301452,0.39895214214796404,1.9430029214328393,1.9430029214328393,,,-0.5
drift,Gran Canaria,Test,-0.3121295498471248,0.4808784506679342,0.3658131058737837,-1.579684006122774,1.8420499745533194,,,-0.5
arima_010_const,Gran Canaria,Test,-0.3121295498604173,0.4808784506799336,0.3658131058782157,-1.5796840061891557,1.8420499745763976,,,-0.5
arima,Gran Canaria,Test,0.41700573819579567,0.5282305527390618,0.41700573819579567,2.045438428016453,2.045438428016453,,,-0.5
ets,Gran Canaria,Test,0.41702267699102613,0.5282439249849978,0.41702267699102613,2.045522567255266,2.045522567255266,,,-0.5
ets,La Gomera,Test,-0.5263736737746658,0.5286914370808585,0.5263736737746658,-2.742733378194457,2.742733378194457,,,-0.5
ets,Tenerife,Test,0.4768459495651207,0.6128930033967845,0.4768459495651207,2.594727746065972,2.594727746065972,,,-0.5
arima,Tenerife,Test,0.4768676806157046,0.6129099108448737,0.4768676806157046,2.5948480644689718,2.5948480644689718,,,-0.5
naive,Tenerife,Test,-0.5235391241556933,0.6498838269396922,0.5235391241556933,-2.944108675589753,2.944108675589753,,,-0.5
tslm,La Gomera,Test,-0.657892905210911,0.6694077631808317,0.657892905210911,-3.428859769888731,3.428859769888731,,,-0.5
naive,Lanzarote,Test,-0.6322232056014361,0.6798501964153716,0.6322232056014361,-3.117996365547629,3.117996365547629,,,-0.5
naive,Fuerteventura,Test,-0.6461491500477798,0.6949625416366821,0.6461491500477798,-3.0484400050729334,3.0484400050729334,,,-0.5
naive,La Graciosa,Test,-0.7384949928267073,0.7835802006985401,0.7384949928267073,-3.4516360538758315,3.4516360538758315,,,-0.5
arima_010_const,Tenerife,Test,-0.7546019441825127,0.8848301381171018,0.7546019441825127,-4.2325221938509685,4.2325221938509685,,,-0.5
drift,Tenerife,Test,-0.7546019441906218,0.8848301381254283,0.7546019441906218,-4.232522193896186,4.232522193896186,,,-0.5
arima_010_const,Lanzarote,Test,-0.8359614196593554,0.8943642572826077,0.8359614196593554,-4.122030508497521,4.122030508497521,,,-0.5
drift,Lanzarote,Test,-0.8359614196616381,0.894364257285011,0.8359614196616381,-4.12203050850877,4.12203050850877,,,-0.5
naive,La Palma,Test,-0.823730027221762,0.899198524114254,0.823730027221762,-4.2773921817311376,4.2773921817311376,,,-0.5
arima_010_const,Fuerteventura,Test,-0.8681301728878008,0.9286836257059828,0.8681301728878008,-4.094930649032566,4.094930649032566,,,-0.5
drift,Fuerteventura,Test,-0.8681301728884367,0.928683625706653,0.8681301728884367,-4.094930649035565,4.094930649035565,,,-0.5
arima_010_const,La Palma,Test,-0.95200777331147,1.0339300247109906,0.95200777331147,-4.942220422397658,4.942220422397658,,,-0.5
drift,La Palma,Test,-0.9520077733115713,1.033930024711097,0.9520077733115713,-4.942220422398183,4.942220422398183,,,-0.5
