indicator,n,spearman,p_value
ods_14_3_1,10,-0.705170430668875,0.022737736615376775
ods_15_2_1_B,9,0.5717261130115711,0.10776017769558542
ods_13_1_1,9,0.5277790490704242,0.14417841699482478
ods_15_2_1_A,8,0.39864661444045596,0.3279528353635723
ods_13_2_2_C,7,-0.3571428571428571,0.4316113520383278
ods_13_2_2_D,7,-0.3571428571428571,0.4316113520383278
ods_7_3_1,8,0.3095238095238096,0.4556448907375821
ods_13_2_2_B,7,-0.30631873731649,0.5040270086665882
ods_7_2_1,9,0.23333333333333334,0.5456987782182727
ods_15_1_1,7,-0.19287918745261487,0.678614789243779
ods_13_2_2_A,7,0.11572751247156893,0.8048478404268486
ods_15_8_1,10,,
