indicator,n,adj_r2,aic
ods_14_3_1,10,0.8258625495481551,1.99035483835247
ods_13_1_1,9,0.36884539332467203,13.981128432018991
ods_15_2_1_B,9,0.31038299082056475,14.778398231689518
ods_15_1_1,7,0.210861516429258,9.200558957091031
ods_7_3_1,8,0.16069103984568778,10.0970080149891
ods_7_2_1,9,0.13693275864326138,16.797604207587064
ods_15_2_1_A,8,0.039688048672061105,11.174442368577983
ods_13_2_2_D,7,-0.035738554262688016,11.104056405690237
ods_13_2_2_C,7,-0.03593147164037136,11.105360109109027
ods_13_2_2_B,7,-0.03614668967093859,11.106814230143195
ods_13_2_2_A,7,-0.25876395744173086,12.46916492028899
ods_15_8_1,10,,
